Repo Name, Total Commits,Flagged Commits,Total Issues,Flagged Issues,Total Releases,Flagged Releases
eugenp/tutorials,100,0,17,0,0,0
Snailclimb/JavaGuide,100,0,73,0,0,0
spring-projects/spring-boot,100,0,564,0,317,1
spring-projects/spring-framework,100,0,269,0,339,0
macrozheng/mall,100,0,10,0,3,0
iluwatar/java-design-patterns,100,0,129,0,0,0
apache/dubbo,100,0,791,0,111,0
elastic/elasticsearch,100,0,4309,2,195,0
TheAlgorithms/Java,100,0,5,0,0,0
doocs/advanced-java,100,0,1,0,1,0
netty/netty,100,0,614,0,0,0
jeecgboot/JeecgBoot,100,0,31,0,60,0
apache/kafka,100,0,0,0,0,0
krahets/hello-algo,100,0,12,0,9,0
MisterBooo/LeetCodeAnimation,100,0,20,0,0,0
apache/flink,100,0,0,0,0,0
GrowingGit/GitHub-Chinese-Top-Charts,100,0,179,0,0,0
alibaba/nacos,100,0,254,0,83,0
kdn251/interviews,100,0,32,0,0,0
mybatis/mybatis-3,100,0,126,0,46,1
ityouknow/spring-boot-examples,100,0,10,0,0,0
kunal-kushwaha/DSA-Bootcamp-Java,100,0,184,0,0,0
apache/rocketmq,100,0,216,0,22,0
xuxueli/xxl-job,100,0,285,0,38,0
google/guava,100,0,630,0,56,0
xkcoding/spring-boot-demo,100,0,100,0,0,0
Blankj/AndroidUtilCode,100,0,309,0,117,0
lenve/vhr,100,0,157,0,0,0
apolloconfig/apollo,100,0,138,0,41,0
halo-dev/halo,100,0,327,0,222,0
zxing/zxing,100,0,7,0,31,0
doocs/leetcode,100,0,1,0,21,0
jenkinsci/jenkins,100,0,0,0,434,1
apache/hadoop,100,0,0,0,0,0
PhilJay/MPAndroidChart,100,0,2063,0,44,0
binarywang/WxJava,100,0,61,0,30,0
apache/incubator-seata,100,0,798,0,44,0
DrKLO/Telegram,100,0,0,0,95,0
alibaba/druid,100,0,2246,0,51,0
SeleniumHQ/selenium,100,0,157,0,107,6
alibaba/spring-cloud-alibaba,100,0,206,0,48,0
macrozheng/mall-learning,100,0,5,0,0,0
wuyouzhuguli/SpringAll,100,0,21,0,0,0
alibaba/Sentinel,100,0,691,0,25,0
forezp/SpringCloudLearning,72,0,40,0,0,0
alibaba/canal,100,0,1153,0,32,0
chinabugotech/hutool,100,0,3,0,152,0
alibaba/easyexcel,100,0,483,0,14,0
ReactiveX/RxJava,100,0,12,0,241,1
alibaba/arthas,100,0,367,0,59,0
keycloak/keycloak,100,0,2013,0,86,0
elunez/eladmin,100,0,4,0,1,0
shuzheng/zheng,100,0,36,0,0,0
linlinjava/litemall,100,0,39,0,8,0
apache/zookeeper,100,0,0,0,0,0
JeffLi1993/springboot-learning-example,100,0,15,0,0,0
OpenAPITools/openapi-generator,100,0,4836,0,72,1
